platform,n,feature,median,q1,q3
hermes_skill,10283,struct_heading_count,14.0,7.0,24.0
hermes_skill,10283,struct_max_heading_depth,3.0,2.0,3.0
hermes_skill,10283,struct_code_char_ratio,0.19330153051083285,0.0,0.40567338376272133
hermes_skill,10283,struct_list_item_ratio,0.3058823529411765,0.1695283714075166,0.5038518518518518
hermes_skill,10283,struct_table_count,0.0,0.0,0.0
hermes_skill,10283,struct_prose_ratio,0.5093704949543488,0.3361941706168911,0.7009743420134613
hermes_skill,10283,struct_frontmatter_field_count,0.0,0.0,0.0
hermes_skill,10283,struct_line_count,96.0,51.0,196.0
hermes_skill,10283,struct_inline_code_char_ratio,0.034606112450423825,0.0,0.09187683530101591
hermes_skill,10283,struct_ordered_list_ratio,0.05150976909413854,0.0,0.125
hermes_skill,10283,struct_bullet_list_ratio,0.21875,0.11688311688311688,0.3592991504854369
hermes_skill,10283,struct_external_ref_count,0.0,0.0,0.0
hermes_skill,10283,struct_named_section_present,1.0,0.0,1.0
hermes_skill,10283,struct_name_format_valid,0.0,0.0,0.0
hermes_skill,10283,struct_long_paragraph_ratio,0.0196078431372549,0.0,0.07692307692307693
hermes_skill,10283,fm_desc_present,0.0,0.0,0.0
hermes_skill,10283,fm_desc_tokens,0.0,0.0,0.0
hermes_skill,10283,fm_desc_when_clause,0.0,0.0,0.0
hermes_skill,10283,fm_desc_or_count,0.0,0.0,0.0
hermes_skill,10283,fm_desc_wildcard_per_token,0.0,0.0,0.0
hermes_skill,10283,desc_tokens,254.0,141.0,463.0
hermes_skill,10283,desc_unique_tokens,145.0,91.0,226.0
hermes_skill,10283,desc_proportion_unique_tokens,0.560126582278481,0.48157894736842105,0.6473988439306358
hermes_skill,10283,desc_characters,1401.0,750.0,2539.0
hermes_skill,10283,desc_sentences,9.0,4.0,19.0
hermes_skill,10283,desc_token_length_mean,5.079470198675497,4.661616161616162,5.696629213483146
hermes_skill,10283,desc_token_length_median,4.0,4.0,5.0
hermes_skill,10283,desc_token_length_std,3.0395283323687434,2.7126310746098103,3.6903959347314252
