source,n,feature,median,q1,q3
graph_of_skills,40,posdep_dep_pcomp,0.0034093369192031465,0.0,0.0057230239542890625
graph_of_skills,40,posdep_dep_pobj,0.051951865884566545,0.044745083348024524,0.06175163386212065
graph_of_skills,40,posdep_dep_poss,0.003067513415977316,0.0,0.004736846157399566
graph_of_skills,40,posdep_dep_preconj,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_predet,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_prep,0.064596203971717,0.051567525263097796,0.07399220305242203
graph_of_skills,40,posdep_dep_prt,0.00021285653469561516,0.0,0.0014489591758545827
graph_of_skills,40,posdep_dep_punct,0.22090560914322768,0.18679872715207818,0.24239354682056866
graph_of_skills,40,posdep_dep_quantmod,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_relcl,0.003226332947996108,0.0,0.005224815400843881
graph_of_skills,40,posdep_dep_xcomp,0.006096484936548054,0.002231971614883007,0.010462112241731939
graph_of_skills,40,lex_mtld,75.81615845226737,61.312652442705684,94.35783262906016
graph_of_skills,40,lex_hdd,0.8578025403988874,0.8311407008585749,0.8932923167996707
graph_of_skills,40,lex_zipf_mean,4.428593710691821,4.346666666666667,4.608683206106873
graph_of_skills,40,dict_hedge_per_1k,2.773368493817046,0.0,7.093848464324626
graph_of_skills,40,dict_booster_per_1k,4.671419849991279,1.8564356435643563,8.689986023495637
graph_of_skills,40,dict_hype_per_1k,0.0,0.0,0.0
graph_of_skills,40,dict_negation_per_1k,8.036153278839652,4.933872508129934,14.344227359519913
graph_of_skills,40,dict_conditional_per_1k,5.225115682102206,0.0,10.400798305723491
graph_of_skills,40,dict_conditional_clauses_per_sentence,0.12372448979591837,0.0,0.20555555555555555
graph_of_skills,40,dict_second_person_per_1k,1.5207065117137057,0.0,6.316164495114006
graph_of_skills,40,dict_cross_reference_per_1k,0.0,0.0,0.0
graph_of_skills,40,dict_plain_replacement_per_1k,10.672020287404903,4.831821348279028,16.981821036405503
graph_of_skills,40,coh_lemma_overlap_adj,0.06296622436862062,0.046554034622250426,0.07293956825191263
skill_diffs,222216,struct_heading_count,12.0,7.0,23.0
skill_diffs,222216,struct_max_heading_depth,3.0,2.0,3.0
skill_diffs,222216,struct_code_char_ratio,0.18891855807743657,0.0,0.4050572271011993
skill_diffs,222216,struct_list_item_ratio,0.3108108108108108,0.14423076923076922,0.5060240963855421
skill_diffs,222216,struct_table_count,0.0,0.0,0.0
skill_diffs,222216,struct_prose_ratio,0.525235032162296,0.31289545273440256,0.7251968219946003
skill_diffs,222216,struct_frontmatter_field_count,0.0,0.0,0.0
skill_diffs,222216,struct_line_count,106.0,54.0,221.0
skill_diffs,222216,struct_inline_code_char_ratio,0.029534109816971715,0.0,0.08044982698961937
skill_diffs,222216,struct_ordered_list_ratio,0.047619047619047616,0.0,0.1282051282051282
skill_diffs,222216,struct_bullet_list_ratio,0.21621621621621623,0.10144927536231885,0.3953488372093023
skill_diffs,222216,struct_external_ref_count,0.0,0.0,0.0
skill_diffs,222216,struct_named_section_present,0.0,0.0,1.0
skill_diffs,222216,struct_name_format_valid,0.0,0.0,0.0
skill_diffs,222216,struct_long_paragraph_ratio,0.01694915254237288,0.0,0.07142857142857142
skill_diffs,222216,fm_desc_present,0.0,0.0,0.0
skill_diffs,222216,fm_desc_tokens,0.0,0.0,0.0
skill_diffs,222216,fm_desc_when_clause,0.0,0.0,0.0
skill_diffs,222216,fm_desc_or_count,0.0,0.0,0.0
skill_diffs,222216,fm_desc_wildcard_per_token,0.0,0.0,0.0
skill_diffs,222216,desc_tokens,252.0,120.0,476.0
skill_diffs,222216,desc_unique_tokens,143.0,77.0,230.0
skill_diffs,222216,desc_proportion_unique_tokens,0.5584905660377358,0.4722222222222222,0.6428571428571429
skill_diffs,222216,desc_characters,1426.0,696.0,2603.0
skill_diffs,222216,desc_sentences,11.0,4.0,21.0
skill_diffs,222216,desc_token_length_mean,5.177777777777778,4.793341250989707,5.76
skill_diffs,222216,desc_token_length_median,5.0,4.0,5.0
skill_diffs,222216,desc_token_length_std,3.077982925873422,2.801758615898875,3.4875178482415565
skill_diffs,222216,desc_sentence_length_mean,22.384615384615383,15.166666666666666,34.70424836601307
skill_diffs,222216,desc_sentence_length_median,15.0,12.0,22.5
skill_diffs,222216,desc_sentence_length_std,16.361158271956175,7.721297395701037,27.867120211620165
skill_diffs,222216,desc_syllables_per_token_mean,1.544,1.431547619047619,1.705
skill_diffs,222216,desc_syllables_per_token_median,1.0,1.0,1.0
skill_diffs,222216,desc_syllables_per_token_std,0.8650459515366199,0.7484387214035382,1.005918240433321
skill_diffs,222216,read_flesch_reading_ease,50.50952318229717,29.23514170040488,64.50047208088742
skill_diffs,222216,read_flesch_kincaid_grade,11.797777777777778,8.51832298136646,17.569591519486206
skill_diffs,222216,read_smog,12.602617957971052,10.504223727775692,15.6451
skill_diffs,222216,read_gunning_fog,14.533333333333331,11.178594543843909,20.866666666666667
skill_diffs,222216,read_automated_readability_index,14.568608058608056,10.3504320942967,22.590917999418437
skill_diffs,222216,read_coleman_liau_index,13.261189801699715,10.777262199089133,16.837423312883434
skill_diffs,222216,read_lix,56.458860759493675,45.194159431728494,72.70731707317073
skill_diffs,222216,read_rix,6.846153846153846,4.5,12.515151515151516
skill_diffs,222216,syn_mean_dependency_distance,2.845294920387305,2.540072026115037,3.2369329434054928
skill_diffs,222216,syn_dependency_distance_std,0.91326981173861,0.6567289492666574,1.222089951937502
skill_diffs,222216,syn_prop_adjacent_dependency_relation_mean,0.46732766624127525,0.44424963623971914,0.49145344650454437
skill_diffs,222216,syn_prop_adjacent_dependency_relation_std,0.0687491080451522,0.04636183711469212,0.0856632964812802
skill_diffs,222216,coh_first_order_coherence,0.5029282075437633,0.4221523780375719,0.6138086691498756
skill_diffs,222216,coh_second_order_coherence,0.4679996128238383,0.39744434878230095,0.5739568877965212
skill_diffs,222216,syn_mean_tree_depth,5.0,4.333333333333333,6.25
skill_diffs,222216,syn_clausal_per_sentence,1.0,0.5,1.6666666666666667
skill_diffs,222216,read_long_sentence_ratio,0.29411764705882354,0.14285714285714285,0.5
skill_diffs,222216,dict_imperative_ratio,0.2,0.0,0.34782608695652173
skill_diffs,222216,dict_first_person_subject_ratio,0.0,0.0,0.0
skill_diffs,222216,dict_contrastive_example_count,0.0,0.0,0.0
skill_diffs,222216,dict_allcaps_directive_per_1k,0.0,0.0,0.0
skill_diffs,222216,posdep_pos_ADJ,0.06578947368421052,0.048327137546468404,0.087248322147651
skill_diffs,222216,posdep_pos_ADP,0.064,0.047619047619047616,0.07894736842105263
skill_diffs,222216,posdep_pos_ADV,0.014492753623188406,0.005847953216374269,0.024861878453038673
skill_diffs,222216,posdep_pos_AUX,0.013513513513513514,0.0029069767441860465,0.02577909689906099
skill_diffs,222216,posdep_pos_CCONJ,0.023445598081139114,0.013114754098360656,0.0350109409190372
skill_diffs,222216,posdep_pos_DET,0.03158398549020925,0.01098901098901099,0.056716417910447764
skill_diffs,222216,posdep_pos_INTJ,0.0,0.0,0.0
skill_diffs,222216,posdep_pos_NOUN,0.2852760736196319,0.24342105263157895,0.33733456561922365
skill_diffs,222216,posdep_pos_NUM,0.009098428453267164,0.0,0.020618556701030927
skill_diffs,222216,posdep_pos_PART,0.009333333333333334,0.0,0.01812688821752266
skill_diffs,222216,posdep_pos_PRON,0.009389671361502348,0.0,0.021739130434782608
skill_diffs,222216,posdep_pos_PROPN,0.08046913956054944,0.05194805194805195,0.13541666666666666
skill_diffs,222216,posdep_pos_PUNCT,0.18394648829431437,0.14285714285714285,0.21806853582554517
skill_diffs,222216,posdep_pos_SCONJ,0.007874015748031496,0.0,0.015384615384615385
skill_diffs,222216,posdep_pos_SYM,0.005943536404160475,0.0,0.015105740181268883
skill_diffs,222216,posdep_pos_VERB,0.10600706713780919,0.07929515418502203,0.12884204022719956
skill_diffs,222216,posdep_pos_X,0.0,0.0,0.00980392156862745
skill_diffs,222216,posdep_dep_ROOT,0.04060913705583756,0.02741514360313316,0.057815845824411134
skill_diffs,222216,posdep_dep_acl,0.00684931506849315,0.001139926182393384,0.01216333622936577
skill_diffs,222216,posdep_dep_acomp,0.0014641288433382138,0.0,0.004930966469428008
skill_diffs,222216,posdep_dep_advcl,0.009900990099009901,0.002053388090349076,0.017699115044247787
skill_diffs,222216,posdep_dep_advmod,0.01881331403762663,0.008620689655172414,0.03015075376884422
skill_diffs,222216,posdep_dep_agent,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_amod,0.06822439290225607,0.04967602591792657,0.09090909090909091
skill_diffs,222216,posdep_dep_appos,0.030612244897959183,0.015015015015015015,0.05303030303030303
skill_diffs,222216,posdep_dep_attr,0.0,0.0,0.004405286343612335
skill_diffs,222216,posdep_dep_aux,0.011111111111111112,0.0,0.02030456852791878
skill_diffs,222216,posdep_dep_auxpass,0.0,0.0,0.004878048780487805
skill_diffs,222216,posdep_dep_case,0.0,0.0,0.0014534883720930232
skill_diffs,222216,posdep_dep_cc,0.023554603854389723,0.013297872340425532,0.03529411764705882
skill_diffs,222216,posdep_dep_ccomp,0.00847457627118644,0.0,0.015873015873015872
skill_diffs,222216,posdep_dep_compound,0.12796208530805686,0.08695652173913043,0.17857142857142858
skill_diffs,222216,posdep_dep_conj,0.042538466086199746,0.02666666666666667,0.060714285714285714
skill_diffs,222216,posdep_dep_csubj,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_csubjpass,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_dative,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_dep,0.006134969325153374,0.0,0.011764705882352941
skill_diffs,222216,posdep_dep_det,0.03201970443349754,0.011363636363636364,0.05714285714285714
skill_diffs,222216,posdep_dep_dobj,0.059895833333333336,0.046119018942770505,0.07483945252288893
skill_diffs,222216,posdep_dep_expl,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_intj,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_mark,0.0032679738562091504,0.0,0.008620689655172414
skill_diffs,222216,posdep_dep_meta,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_neg,0.0021660370550653923,0.0,0.008426966292134831
skill_diffs,222216,posdep_dep_nmod,0.018656716417910446,0.008287292817679558,0.036585365853658534
skill_diffs,222216,posdep_dep_npadvmod,0.0060790273556231,0.0,0.010899182561307902
skill_diffs,222216,posdep_dep_nsubj,0.038461538461538464,0.024608501118568233,0.05017921146953405
skill_diffs,222216,posdep_dep_nsubjpass,0.0,0.0,0.004106776180698152
skill_diffs,222216,posdep_dep_nummod,0.00625,0.0,0.01485148514851485
skill_diffs,222216,posdep_dep_oprd,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_parataxis,0.0,0.0,0.001597444089456869
skill_diffs,222216,posdep_dep_pcomp,0.00228310502283105,0.0,0.005361930294906166
skill_diffs,222216,posdep_dep_pobj,0.055666003976143144,0.041025641025641026,0.06880733944954129
skill_diffs,222216,posdep_dep_poss,0.0,0.0,0.005657994486363985
skill_diffs,222216,posdep_dep_preconj,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_predet,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_prep,0.061224489795918366,0.047619047619047616,0.07654189743724353
skill_diffs,222216,posdep_dep_prt,0.0,0.0,0.002178649237472767
skill_diffs,222216,posdep_dep_punct,0.19482204833404448,0.15568862275449102,0.23983739837398374
skill_diffs,222216,posdep_dep_quantmod,0.0,0.0,0.0
skill_diffs,222216,posdep_dep_relcl,0.0023788755997648852,0.0,0.006369426751592357
skill_diffs,222216,posdep_dep_xcomp,0.0036429872495446266,0.0,0.008174386920980926
skill_diffs,222216,lex_mtld,87.95652173913044,56.98008877369784,120.66666666666667
skill_diffs,222216,lex_hdd,0.8564342891963578,0.7933359918825993,0.8917843718391281
skill_diffs,222216,lex_zipf_mean,4.429435483870968,4.202924682239779,4.574139022828674
skill_diffs,222216,dict_hedge_per_1k,0.0,0.0,5.454545454545455
skill_diffs,222216,dict_booster_per_1k,4.0983606557377055,0.0,9.615384615384617
skill_diffs,222216,dict_hype_per_1k,0.0,0.0,0.0
skill_diffs,222216,dict_negation_per_1k,5.154639175257732,0.0,12.688342585249801
skill_diffs,222216,dict_conditional_per_1k,1.6556291390728477,0.0,7.092198581560283
skill_diffs,222216,dict_conditional_clauses_per_sentence,0.0,0.0,0.10778785198289842
skill_diffs,222216,dict_second_person_per_1k,0.0,0.0,4.901960784313726
skill_diffs,222216,dict_cross_reference_per_1k,0.0,0.0,0.0
skill_diffs,222216,dict_plain_replacement_per_1k,13.392857142857142,5.128205128205129,24.242424242424242
skill_diffs,222216,coh_lemma_overlap_adj,0.05040062202005149,0.0331403063331268,0.0754988045868413
slop_stub,5147,struct_heading_count,3.0,3.0,3.0
slop_stub,5147,struct_max_heading_depth,3.0,3.0,3.0
slop_stub,5147,struct_code_char_ratio,0.16791044776119404,0.1523623511904762,0.18407960199004975
slop_stub,5147,struct_list_item_ratio,0.0,0.0,0.0
slop_stub,5147,struct_table_count,0.0,0.0,0.0
slop_stub,5147,struct_prose_ratio,0.5866666666666667,0.5499140893470791,0.6233333333333333
slop_stub,5147,struct_frontmatter_field_count,0.0,0.0,0.0
slop_stub,5147,struct_line_count,13.0,13.0,13.0
slop_stub,5147,struct_inline_code_char_ratio,0.0,0.0,0.0
slop_stub,5147,struct_ordered_list_ratio,0.0,0.0,0.0
slop_stub,5147,struct_bullet_list_ratio,0.0,0.0,0.0
slop_stub,5147,struct_external_ref_count,0.0,0.0,0.0
slop_stub,5147,struct_named_section_present,0.0,0.0,0.0
slop_stub,5147,struct_name_format_valid,0.0,0.0,0.0
slop_stub,5147,struct_long_paragraph_ratio,0.0,0.0,0.0
slop_stub,5147,fm_desc_present,0.0,0.0,0.0
slop_stub,5147,fm_desc_tokens,0.0,0.0,0.0
